,Response_X,Response_Y,tag
1,121.5305714,25.1124713,star
2,121.5245359,25.1047446,star
3,121.5258922,25.0951597,star
4,121.527706,25.1185801,star
5,121.5343606,25.1182618,star
6,121.5264598,25.0883568,star
7,121.523222,25.0817039,star
8,121.5171935,25.049308,star
9,121.5171935,25.049308,star
10,121.51321,25.059254,star
11,121.5202136,25.0528564,star
12,121.513958,25.053927,star
13,121.5192592,25.0720501,star
14,121.5544423,25.032484,star
15,121.556936,25.042527,star
16,121.541244,25.0217679,star
17,121.5229752,25.0268606,star
18,121.537214,25.025448,star
19,121.5553811,25.0383322,star
20,121.5432512,25.041211,star
21,121.54837,25.041327,star
22,121.551655,25.0416768,star
23,121.5449021,25.0419689,star
24,121.528196,25.023559,star
25,121.5448337,25.0427452,star
26,121.5438918,25.0336797,star
27,121.5436729,25.0254287,star
28,121.5493278,25.0394894,star
29,121.549348,25.028745,star
30,121.548978,25.0255174,star
31,121.5491363,25.0310651,star
32,121.531868,25.0174909,star
33,121.5353546,25.013907,star
34,121.5456131,25.0858404,star
35,121.5228576,25.0629676,star
36,121.5216856,25.0579712,star
37,121.5372614,25.0623022,star
38,121.5439913,25.0619944,star
39,121.5328249,25.0578266,star
40,121.5331631,25.0487401,star
41,121.5258274,25.0541257,star
42,121.5246386,25.0519412,star
43,121.537375,25.0522466,star
44,121.5543677,25.0823958,star
45,121.5560203,25.0813832,star
46,121.5570985,25.083576,star
47,121.5191025,25.0403647,star
48,121.517081,25.0479239,star
49,121.5654268,25.0329636,star
50,121.5178784,25.0463087,star
51,121.5178784,25.0463087,star
52,121.5255064,25.0445321,star
53,121.5318112,25.0420216,star
54,121.5245843,25.0356238,star
55,121.5168667,25.0324241,star
56,121.5161821,25.0457437,star
57,121.5301164,25.01417,star
58,121.513072,25.042508,star
59,121.5148485,25.0447176,star
60,121.514108,25.0461498,star
61,121.5090779,25.0415964,star
62,121.5670637,25.0823476,star
63,121.570435,25.08111,star
64,121.5929196,25.0685791,star
65,121.592611,25.0717589,star
66,121.5938292,25.0830084,star
67,121.5729451,25.079039,star
68,121.5650712,25.0803921,star
69,121.6114143,25.0700683,star
70,121.578749,25.062436,star
71,121.5759969,25.0754264,star
72,121.5695477,25.078676,star
73,121.5758964,25.0629017,star
74,121.566859,24.988713,star
75,121.575689,24.987836,star
76,121.5575845,24.9996897,star
77,121.5162326,25.1165499,star
78,121.4713891,25.124507,star
79,121.504383,25.136201,star
80,121.5224474,25.1176921,star
81,121.547346,25.1525189,star
82,121.550411,25.048084,star
83,121.5576332,25.0484022,star
84,121.5623004,25.0483545,star
85,121.544637,25.058097,star
86,121.548333,25.057418,star
87,121.5628545,25.058581,star
88,121.548289,25.052006,star
89,121.5441717,25.0460629,star
90,121.5441717,25.0460629,star
91,121.54958,25.0538579,star
92,121.5518476,25.0636811,star
93,121.544604,25.0528006,star
94,121.5634277,25.0267606,star
95,121.5733244,25.0412225,star
96,121.5653964,25.0408461,star
97,121.5665939,25.046907,star
98,121.5782994,25.0491901,star
99,121.5681831,25.0392441,star
100,121.5658739,25.0397197,star
101,121.5672349,25.0360141,star
102,121.5660665,25.03531,star
103,121.5645098,25.0339031,star
104,121.5747856,25.0338981,star
105,121.5610914,25.0317939,star
106,121.6136295,25.0554258,star
107,121.6118825,25.0584861,star
108,121.504751,25.043211,star
109,121.502493,25.029518,star
110,121.5055717,25.0451617,star
111,121.5252903,25.0868537,cosmed
112,121.5259493,25.0950274,cosmed
113,121.5267201,25.0894212,cosmed
114,121.523195,25.0885889,cosmed
115,121.5227731,25.1042621,cosmed
116,121.523012,25.084209,cosmed
117,121.5288772,25.1110097,cosmed
118,121.5166258,25.0631558,cosmed
119,121.5113595,25.058962,cosmed
120,121.5169245,25.050906,cosmed
121,121.5154509,25.0718451,cosmed
122,121.546283,25.0435307,cosmed
123,121.5299032,25.0330738,cosmed
124,121.5552728,25.0211898,cosmed
125,121.5469465,25.0248784,cosmed
126,121.5230068,25.0272778,cosmed
